iter	Passed	Remaining
0	168	167947
1	176	88247
2	184	61249
3	187	46778
4	191	38146
5	201	33316
6	202	28762
7	204	25407
8	206	22716
9	208	20648
10	211	18974
11	212	17515
12	215	16348
13	217	15312
14	219	14381
15	220	13587
16	223	12907
17	225	12300
18	227	11758
19	229	11246
20	237	11074
21	239	10644
22	241	10241
23	245	10000
24	255	9950
25	256	9620
26	258	9316
27	267	9297
28	270	9051
29	272	8797
30	279	8749
31	281	8521
32	283	8309
33	285	8102
34	292	8071
35	294	7891
36	296	7715
37	298	7551
38	307	7567
39	309	7418
40	310	7266
41	312	7121
42	319	7109
43	321	6982
44	322	6853
45	325	6742
46	333	6764
47	335	6649
48	337	6543
49	339	6448
50	348	6489
51	350	6385
52	351	6288
53	353	6197
54	358	6156
55	360	6070
56	361	5983
57	363	5898
58	369	5890
59	371	5825
60	373	5746
61	375	5673
62	376	5600
63	385	5634
64	387	5568
65	389	5507
66	391	5450
67	394	5413
68	396	5354
69	398	5293
70	400	5236
71	404	5210
72	406	5166
73	408	5110
74	410	5060
75	411	5006
76	413	4956
77	415	4912
78	417	4863
79	418	4814
80	420	4769
81	422	4733
82	425	4697
83	428	4671
84	429	4626
85	455	4835
86	457	4798
87	459	4760
88	462	4738
89	465	4705
90	467	4669
91	469	4636
92	471	4603
93	474	4568
94	477	4545
95	479	4514
96	481	4480
97	483	4448
98	484	4413
99	486	4381
100	488	4352
101	490	4320
102	494	4308
103	496	4276
104	499	4256
105	501	4231
106	516	4307
107	517	4276
108	527	4313
109	529	4283
110	530	4252
111	536	4257
112	538	4227
113	540	4197
114	541	4167
115	543	4144
116	548	4137
117	550	4113
118	551	4084
119	553	4060
120	555	4035
121	557	4009
122	558	3979
123	564	3988
124	567	3969
125	568	3945
126	571	3925
127	579	3945
128	581	3923
129	583	3903
130	588	3901
131	590	3886
132	592	3863
133	594	3841
134	598	3833
135	600	3814
136	602	3794
137	604	3774
138	606	3754
139	608	3736
140	614	3743
141	616	3723
142	618	3706
143	620	3689
144	627	3700
145	631	3692
146	632	3672
147	637	3667
148	639	3653
149	643	3646
150	645	3626
151	651	3634
152	653	3615
153	654	3594
154	656	3577
155	657	3558
156	661	3550
157	662	3531
158	664	3513
159	666	3498
160	667	3480
161	675	3493
162	676	3476
163	678	3459
164	680	3442
165	681	3425
166	683	3410
167	685	3395
168	688	3385
169	697	3405
170	699	3389
171	700	3373
172	702	3357
173	710	3374
174	712	3359
175	715	3347
176	716	3331
177	725	3351
178	727	3336
179	728	3320
